rowid	mod-7	mod-12	mod-13	mod-14	mod-23	mod-109	mod-110	mod-111	mod-114	mod-127	mod-128	mod-131	CD34	CD68	CNP	GFAP	MBP	OLIG2	PC1
projid10101327	0.070123	0.010938	-0.008110	0.029164	0.011430	0.021982	-0.015090	-0.016205	-0.013261	-0.024454	-0.029635	-0.001255	0.021741	-0.053153	-0.019473	0.000823	-0.039687	-0.005967	-0.038588
projid10101589	-0.006921	-0.010505	0.050241	-0.049846	-0.015350	0.000121	-0.012888	0.023904	-0.005270	0.025083	0.070441	-0.013571	0.079538	-0.037295	0.023752	-0.039871	-0.004208	0.043654	0.040431
projid10202345	0.115967	0.003998	-0.062625	-0.004180	-0.021184	0.055796	0.002759	-0.029071	0.045211	-0.102888	-0.086521	-0.056338	0.008686	0.061795	-0.006030	0.049033	0.049304	-0.011860	-0.027943
projid10203224	-0.047702	0.104803	0.098996	0.055141	0.093281	-0.119047	-0.065726	-0.077393	-0.131770	0.074757	0.019028	0.084889	-0.041866	-0.015609	-0.072219	-0.009958	-0.030402	-0.071865	-0.103625
projid10205244	0.028560	0.016910	0.023912	-0.000876	-0.030172	0.005225	0.032280	-0.033263	0.021835	-0.052295	-0.035215	-0.046907	0.008192	-0.003903	0.058175	-0.058265	0.064009	0.050100	-0.003338
projid10208143	0.040320	0.053597	0.035845	0.050685	0.019117	-0.033838	-0.052160	-0.077570	-0.035002	-0.040709	-0.062267	-0.005817	-0.027795	-0.033958	-0.044657	-0.072436	-0.028031	-0.047145	-0.078098
projid10218339	0.012449	0.018526	0.026084	0.014343	0.006350	0.014718	0.014765	-0.005609	-0.011948	0.000074	0.023984	0.001010	-0.011354	-0.059445	0.006088	0.000265	0.044423	-0.014875	-0.009285
projid10222853	0.008520	0.035743	0.052681	0.036421	0.017952	-0.022365	-0.007832	-0.022045	-0.046324	0.021765	0.037675	0.015804	0.008007	-0.015122	0.000248	0.008746	-0.013049	0.003628	-0.030239
projid10246987	-0.076876	0.064607	0.030426	0.097870	0.134166	-0.065860	-0.141630	-0.048187	-0.041706	0.073983	0.113992	0.127621	-0.079297	0.033704	-0.137876	-0.043017	-0.137419	-0.074725	-0.090160
projid10248033	-0.049706	-0.004539	0.022453	0.006515	0.044315	-0.004984	-0.021015	0.044328	-0.049107	0.081791	0.059468	0.062275	0.005882	-0.048880	-0.031907	0.001069	0.028424	-0.024946	0.004807
projid10249336	-0.005162	-0.006707	0.007733	0.008024	0.013762	0.000258	0.003908	0.008291	-0.015419	0.028259	0.042100	0.023903	-0.006058	-0.005987	-0.011587	-0.039580	0.031560	0.002324	-0.004979
projid10253148	-0.000780	-0.054703	-0.024403	-0.028498	-0.035580	0.021535	-0.055041	0.020004	0.029811	0.015671	-0.011347	-0.027308	-0.071795	0.055080	-0.085125	0.015662	-0.061422	-0.000111	0.047305
projid10260309	0.076987	-0.048599	-0.067453	-0.032667	-0.042987	0.081959	0.022345	0.060120	0.034497	-0.049370	-0.055868	-0.030083	0.095310	-0.029968	0.018605	0.008942	-0.051365	0.063630	0.030950
projid10262905	0.007389	0.029621	0.042107	0.023435	0.034401	-0.009266	0.000620	-0.012037	-0.040757	0.035887	0.061433	0.024409	0.008030	-0.017067	0.017149	0.002333	0.066357	-0.014016	-0.026340
projid10271474	-0.020363	0.043314	0.062436	0.071771	0.008388	-0.043135	-0.008091	-0.055986	-0.036500	0.024937	0.018493	0.017887	-0.015165	-0.004862	-0.010714	-0.020164	0.028196	-0.008897	-0.033277
projid10277308	-0.002549	0.008054	0.030853	-0.008052	-0.013170	-0.004686	0.009480	-0.018794	-0.009653	-0.002865	0.019339	-0.011164	0.024223	0.009274	0.029738	0.017597	0.019601	0.022278	0.004900
projid10288185	0.004440	0.002098	0.002361	-0.012475	0.004036	0.023962	-0.003862	0.020487	-0.015343	0.015864	0.022588	-0.000485	-0.008451	-0.049801	-0.001160	-0.016943	-0.034573	0.002609	0.009344
projid10290427	-0.020072	-0.002531	0.013557	0.036774	-0.030694	-0.038749	0.003467	-0.039518	0.048882	-0.008717	-0.001883	-0.020743	-0.009004	0.026604	0.024974	0.049969	0.008304	-0.066787	-0.000540
projid10291856	-0.001383	-0.094000	-0.058138	-0.066109	-0.094159	0.068318	0.108432	0.105931	0.028756	-0.007975	-0.072589	-0.045445	0.048422	-0.023982	0.087532	-0.018688	0.053379	0.078058	0.094938
projid10292311	-0.011016	0.013371	0.028271	-0.001910	0.030483	-0.003718	-0.010294	-0.006032	-0.023357	0.015000	0.052827	0.026040	0.000543	-0.040352	0.013393	0.011468	-0.009096	0.005139	-0.011704
projid10300914	-0.009543	-0.061666	-0.040122	-0.063445	-0.047624	0.063900	0.069003	0.099097	0.029116	0.015737	0.044594	-0.025333	-0.003279	0.005664	0.052488	0.024070	0.056673	0.090839	0.089086
projid10315029	-0.048548	-0.046933	-0.009323	-0.023837	-0.082523	-0.001473	0.084666	0.034230	0.047843	-0.034959	-0.052510	-0.065624	0.025425	0.053114	0.104321	0.037153	0.056546	0.087810	0.068212
projid10345561	0.006347	-0.016595	-0.023816	-0.020708	0.003431	0.001645	-0.067932	0.011448	0.029947	0.003680	-0.018197	-0.003257	0.020349	0.006429	-0.064510	0.026205	-0.018099	-0.023811	0.009696
projid10383017	-0.008211	0.006801	-0.036195	0.008454	0.039034	0.023583	-0.019038	0.024849	-0.006028	0.011683	-0.016694	0.033607	-0.027085	0.043451	-0.042932	-0.022526	-0.035681	0.002249	-0.013611
projid10394182	-0.010713	0.037225	0.019640	0.034813	0.007425	-0.024058	0.003824	-0.012846	-0.026136	-0.002038	-0.016677	-0.003874	0.003189	0.021045	0.018662	0.005372	0.073597	0.011871	-0.023082
projid10395197	-0.044214	0.005832	0.035268	0.048615	0.000617	-0.040529	-0.028385	-0.032939	0.003101	0.012146	-0.005429	0.014199	0.016968	0.012942	-0.004440	0.006034	-0.021399	-0.047075	-0.008294
